depth (m abs)	year
1.889	1800.286408
1.89	1800.285727
1.891	1800.285046
1.892	1800.284364
1.893	1800.283683
1.894	1800.283002
1.895	1800.282321
1.896	1800.281641
1.897	1800.28096
1.898	1800.280279
1.899	1800.279598
1.9	1800.278917
1.901	1800.278235
1.902	1800.277554
1.903	1800.276873
1.904	1800.276193
1.905	1800.275512
1.906	1800.274831
1.907	1800.27415
1.908	1800.273469
1.909	1800.272788
1.91	1800.272107
1.911	1800.271425
1.912	1800.270744
1.913	1800.270064
1.914	1800.269383
1.915	1800.268702
1.916	1800.268021
1.917	1800.26734
1.918	1800.266659
1.919	1800.265978
1.92	1800.265296
1.921	1800.264615
1.922	1800.263935
1.923	1800.263254
1.924	1800.262573
1.925	1800.261892
1.926	1800.261211
1.927	1800.26053
1.928	1800.259849
1.929	1800.259168
1.93	1800.258486
1.931	1800.257806
1.932	1800.257125
1.933	1800.256444
1.934	1800.255763
1.935	1800.255082
1.936	1800.254401
1.937	1800.25372
1.938	1800.253039
1.939	1800.252358
1.94	1800.251677
1.941	1800.250996
1.942	1800.250315
1.943	1800.249634
1.944	1800.248953
1.945	1800.248272
1.946	1800.247591
1.947	1800.24691
1.948	1800.246229
1.949	1800.245548
1.95	1800.244867
1.951	1800.244186
1.952	1800.243505
1.953	1800.242824
1.954	1800.242143
1.955	1800.241462
1.956	1800.240781
1.957	1800.2401
1.958	1800.239419
1.959	1800.238738
1.96	1800.238057
1.961	1800.237376
1.962	1800.236695
1.963	1800.236014
1.964	1800.235333
1.965	1800.234652
1.966	1800.233971
1.967	1800.23329
1.968	1800.232609
1.969	1800.231928
1.97	1800.231247
1.971	1800.230566
1.972	1800.229885
1.973	1800.229204
1.974	1800.228524
1.975	1800.227843
1.976	1800.227161
1.977	1800.22648
1.978	1800.225799
1.979	1800.225118
1.98	1800.224437
1.981	1800.223756
1.982	1800.223075
1.983	1800.222395
1.984	1800.221714
1.985	1800.221032
1.986	1800.220351
1.987	1800.21967
1.988	1800.218989
1.989	1800.218308
1.99	1800.217627
1.991	1800.216946
1.992	1800.216266
1.993	1800.215585
1.994	1800.214904
1.995	1800.214222
1.996	1800.213541
1.997	1800.21286
1.998	1800.212179
1.999	1800.211498
2	1800.210817
2.001	1800.210137
2.002	1800.209456
2.003	1800.208775
2.004	1800.208093
2.005	1800.207412
2.006	1800.206731
2.007	1800.20605
